CUST_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,AGE_BKT,SCR,HOLDING_PERIOD,ACC_TYPE,ACC_OP_DATE,LEN_OF_RLTN_IN_MNTH,NO_OF_L_CR_TXNS,NO_OF_L_DR_TXNS,TOT_NO_OF_L_TXNS,NO_OF_BR_CSH_WDL_DR_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_NET_DR_TXNS,NO_OF_MOB_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_BR_CSH_WDL_DR,AMT_CHQ_DR,AMT_NET_DR,AMT_MOB_DR,AMT_L_DR,FLG_HAS_ANY_CHGS,AMT_OTH_BK_ATM_USG_CHGS,AMT_MIN_BAL_NMC_CHGS,NO_OF_IW_CHQ_BNC_TXNS,NO_OF_OW_CHQ_BNC_TXNS,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CSH_WDL_TXN,AVG_AMT_PER_CHQ_TXN,AVG_AMT_PER_NET_TXN,AVG_AMT_PER_MOB_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN,random
C16418,1,53,M,34474.55,SELF-EMP,>50,809,1,SA,11/05/2012,55,8,6,14,2,1,1,0,2,1,4700,756420,41810,840291,0,1643221,0,0,0,0,0,4700,378210,20905,840291,0,1,0,0.001885036
C16183,0,31,M,9059.48,SENP,31-35,234,7,SA,4/21/2003,169,6,4,10,0,0,0,0,4,1,0,0,45620,0,0,45620,0,0,0,0,0,0,0,11405,0,0,1,0,0.0022473
C3181,0,34,M,22196.98,SELF-EMP,31-35,302,11,SA,06/03/2008,108,11,6,17,2,1,1,0,2,0,16900,992890,91830,671588,0,1773208,0,0,0,0,0,16900,496445,45915,671588,0,1,1,0.002497164
C9420,0,46,M,274321,PROF,46-50,610,20,SA,9/20/2005,140,10,5,15,1,1,1,0,2,1,17300,654110,87750,65956,0,825116,0,0,0,0,0,17300,654110,43875,65956,0,1,1,0.002749235
C19621,0,43,M,244981.44,SAL,41-45,150,7,SA,11/23/2011,66,5,6,11,1,1,0,0,4,0,12200,424580,42190,0,0,478970,0,0,0,0,0,12200,424580,10547.5,0,0,1,1,0.002801714
C13606,1,53,M,459113.32,SAL,>50,882,16,SA,4/17/2008,110,16,15,31,2,2,4,1,6,1,45500,258490,149900,15901,173379,643170,0,0,0,0,0,22750,129245,24983.33,3975.25,173379,1,1,0.002907254
C1056,0,41,M,5359.8,SAL,41-45,325,31,SA,10/26/2003,163,7,1,8,0,0,1,0,0,0,0,0,0,597086,0,597086,0,0,0,0,0,0,0,0,597086,0,1,0,0.002994791
C17864,0,25,F,65352.69,SENP,<25,140,4,SA,08/01/2010,82,2,2,4,1,0,0,0,1,0,0,249050,0,0,0,249050,0,0,0,0,0,0,249050,0,0,0,1,0,0.003103295
C19537,1,53,F,5677834.48,SENP,>50,196,4,SA,08/03/2013,46,2,5,7,2,1,1,0,1,0,17500,512340,0,389787,0,919627,0,0,0,0,0,17500,256170,0,389787,0,1,1,0.003372545
C14190,0,24,F,537015.73,SENP,<25,155,4,SA,05/06/2012,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003617118
C7131,0,38,M,104992.52,SAL,36-40,171,14,SA,10/03/2011,68,2,1,3,1,0,0,0,0,0,0,352290,0,0,0,352290,0,0,0,0,0,0,352290,0,0,0,1,0,0.003623894
C19368,0,25,M,486469.59,PROF,<25,140,9,SA,02/11/2000,208,14,8,22,2,1,1,0,4,0,2800,694830,28900,712131,0,1438661,0,0,0,0,0,2800,347415,7225,712131,0,1,0,0.00389019
C8306,0,30,M,439710.96,SELF-EMP,26-30,451,24,SA,07/09/2008,107,4,4,8,0,1,2,0,1,0,7900,0,13440,253050,0,274390,0,0,0,1,0,7900,0,13440,126525,0,1,0,0.004095057
C15428,0,36,M,1419961.51,SELF-EMP,36-40,210,4,SA,02/03/2009,100,6,4,10,1,0,0,0,3,0,0,375970,16070,0,0,392040,0,0,0,0,0,0,375970,5356.67,0,0,1,0,0.004378251
C8069,0,38,M,216124.48,SAL,36-40,429,18,SA,10/29/2008,103,12,6,18,2,1,1,0,2,0,100,433210,82400,26600,0,542310,0,0,0,0,0,100,216605,41200,26600,0,0,0,0.004506845
C16390,0,51,M,19701.96,SAL,>50,179,2,SA,7/30/2005,142,16,15,31,8,2,4,1,0,0,1000,357800,0,565132,84710,1008642,0,0,0,0,0,500,44725,0,141283,84710,1,0,0.005143526
C18998,0,43,F,3675.21,PROF,41-45,215,7,SA,5/18/2006,132,7,6,13,2,1,1,0,2,0,2600,730110,91860,432818,0,1257388,0,0,0,0,0,2600,365055,45930,432818,0,1,0,0.005223869
C10192,0,27,M,3383.75,SELF-EMP,26-30,776,30,SA,3/23/2005,146,7,3,10,0,1,2,0,0,0,13100,0,0,973557,0,986657,0,0,0,0,0,13100,0,0,486778.5,0,1,1,0.007050078
C3492,0,43,M,117851.26,SENP,41-45,189,26,SA,08/02/2011,70,4,1,5,0,0,0,0,1,0,0,0,67070,0,0,67070,1,0,0,0,0,0,0,67070,0,0,1,0,0.007358201
C18301,0,34,M,1956836.06,SAL,31-35,352,3,SA,10/16/2010,80,7,5,12,2,1,1,0,1,0,5400,197740,0,859731,0,1062871,0,0,0,0,0,5400,98870,0,859731,0,1,1,0.007387207
C10468,0,40,M,2332280.82,SELF-EMP,36-40,141,16,SA,11/06/1999,211,5,6,11,0,1,1,0,4,1,1200,0,74480,746292,0,821972,0,0,0,0,0,1200,0,18620,746292,0,1,0,0.0079606
C19970,0,22,F,494972.98,SENP,<25,205,8,SA,12/08/2006,126,12,6,18,2,1,1,0,2,1,18700,953500,46060,898381,0,1916641,0,0,0,0,0,18700,476750,23030,898381,0,1,0,0.008194612
C14985,0,28,M,759731.77,PROF,26-30,437,1,CA,4/15/1999,218,38,15,53,5,2,3,1,4,0,43900,884770,67880,926984,15461,1938995,0,0,0,0,0,21950,176954,16970,308994.67,15461,1,0,0.008519761
C14310,0,33,F,649838.36,PROF,31-35,283,6,SA,01/06/2013,53,5,5,10,0,1,0,0,4,1,9800,0,53220,0,0,63020,0,0,0,0,0,9800,0,13305,0,0,0,0,0.008585591
C6059,0,55,F,131587.16,SENP,>50,662,30,SA,8/18/2004,153,9,2,11,0,0,0,1,1,1,0,0,20680,0,138816,159496,0,0,0,0,0,0,0,20680,0,138816,1,1,0.008934073
C12771,1,37,M,25570.39,SELF-EMP,36-40,236,18,SA,02/04/2014,40,2,2,4,0,0,0,0,2,0,0,0,17500,0,0,17500,0,0,0,0,0,0,0,8750,0,0,1,0,0.008953752
C7727,0,33,M,2117513.27,PROF,31-35,108,27,SA,2/27/2012,63,2,1,3,1,0,0,0,0,0,0,94310,0,0,0,94310,0,0,0,0,0,0,94310,0,0,0,1,1,0.009123931
C12190,0,53,M,150381.54,SAL,>50,187,28,CA,1/15/2003,173,11,4,15,4,0,0,0,0,1,0,144180,0,0,0,144180,0,0,0,0,0,0,36045,0,0,0,1,1,0.009312785
C19662,0,38,M,493387.3,PROF,36-40,688,8,CA,08/08/2010,82,42,17,59,6,2,0,1,8,0,22100,506340,520790,0,138960,1188190,0,0,0,0,0,11050,84390,65098.75,0,138960,1,1,0.00932495
C2714,0,54,M,416326.31,PROF,>50,371,10,SA,12/30/2009,89,2,2,4,1,0,0,0,1,0,0,225870,0,0,0,225870,0,0,0,0,0,0,225870,0,0,0,1,1,0.009332106
C8331,0,42,M,71007.43,PROF,41-45,303,19,SA,07/03/2013,47,14,6,20,0,1,1,0,4,1,4400,0,19360,294524,0,318284,0,0,0,0,0,4400,0,4840,294524,0,1,1,0.00973237
C5137,0,37,F,181424.17,PROF,36-40,263,15,SA,7/25/2010,82,10,5,15,1,1,1,0,2,0,7300,753970,56500,14293,0,832063,0,0,0,0,0,7300,753970,28250,14293,0,1,1,0.009772646
C5162,0,53,F,63349.57,PROF,>50,249,22,SA,1/25/2011,76,2,3,5,1,1,1,0,0,0,300,620540,0,776335,0,1397175,0,0,0,0,0,300,620540,0,776335,0,1,1,0.009877141
C9198,0,30,M,1881003.87,PROF,26-30,745,24,SA,10/31/2003,163,11,4,15,3,1,0,0,0,0,13400,384360,0,0,0,397760,0,0,0,0,0,13400,128120,0,0,0,0,1,0.010252448
C11412,0,42,M,60083.32,SELF-EMP,41-45,404,13,SA,1/15/2010,89,2,2,4,0,0,0,0,2,0,0,0,45560,0,0,45560,0,0,0,0,0,0,0,22780,0,0,1,0,0.011015532
C6881,0,35,M,108144.88,SAL,31-35,590,11,SA,2/27/2012,63,9,5,14,1,1,1,0,2,0,500,518930,77530,749310,0,1346270,0,0,0,0,0,500,518930,38765,749310,0,0,0,0.0110276
C13959,1,49,M,139713.71,SAL,46-50,300,2,SA,7/25/2000,202,8,6,14,1,1,0,0,4,0,1400,480640,25090,0,0,507130,0,0,0,0,0,1400,480640,6272.5,0,0,0,0,0.011691594
C1804,0,41,M,1691662.82,PROF,41-45,896,14,SA,09/06/2002,177,8,5,13,1,1,1,0,2,0,15300,679960,68030,128019,0,891309,0,0,0,0,0,15300,679960,34015,128019,0,1,1,0.011941741
C8996,0,47,F,297327.04,SELF-EMP,46-50,904,22,SA,1/13/2006,137,3,3,6,3,0,0,0,0,1,0,452540,0,0,0,452540,0,0,0,0,0,0,150846.67,0,0,0,1,0,0.012101404
C7191,0,27,M,6039.88,SENP,26-30,944,18,SA,12/29/1999,209,11,10,21,5,1,0,1,3,0,5900,457400,0,0,21307,484607,0,0,0,0,0,5900,91480,0,0,21307,1,0,0.012318704
C1331,0,26,M,446320.23,PROF,26-30,197,24,SA,6/15/2001,192,8,2,10,1,0,0,0,1,0,0,719880,63160,0,0,783040,1,0,0,0,0,0,719880,63160,0,0,1,1,0.012424255
C5891,0,39,M,187084.44,SENP,36-40,686,11,SA,2/14/2001,196,2,1,3,1,0,0,0,0,1,0,183800,0,0,0,183800,0,0,0,0,0,0,183800,0,0,0,1,1,0.012913065
C12495,1,47,M,164832.03,SELF-EMP,46-50,765,10,SA,08/07/2009,94,5,5,10,2,1,1,0,1,0,17000,106920,0,325480,0,449400,0,0,0,0,0,17000,53460,0,325480,0,1,1,0.013214344
C7343,0,23,M,292790.09,SENP,<25,193,21,CA,05/03/2000,205,29,2,31,1,1,0,0,0,0,12300,904840,0,0,0,917140,1,0,0,0,0,12300,904840,0,0,0,1,0,0.013287081
C3166,0,36,O,132584.39,PROF,36-40,432,16,CA,8/31/1999,213,43,17,60,10,2,0,1,4,1,39600,497280,10560,0,75890,623330,0,0,0,0,0,19800,49728,2640,0,75890,1,1,0.013814702
C10687,0,48,M,15972.79,SENP,46-50,327,22,CA,01/09/2008,113,17,1,18,1,0,0,0,0,0,0,172120,0,0,0,172120,0,0,0,0,0,0,172120,0,0,0,1,0,0.013917077
C2231,0,31,F,314599.66,SENP,31-35,736,22,SA,12/01/2007,114,5,2,7,1,1,0,0,0,0,7300,36760,0,0,0,44060,1,0,0,0,0,7300,36760,0,0,0,1,0,0.014519471
C10915,0,51,M,49781.08,SAL,>50,570,13,SA,3/25/2014,38,5,5,10,2,1,1,0,1,0,7400,943900,0,839636,0,1790936,0,0,0,0,0,7400,471950,0,839636,0,1,1,0.015530716
C7527,0,22,M,872849.96,SAL,<25,151,28,CA,2/19/2007,123,12,1,13,1,0,0,0,0,0,0,137490,0,0,0,137490,0,0,0,0,0,0,137490,0,0,0,1,0,0.015819431
C3701,0,35,M,712086.58,SAL,31-35,735,13,SA,11/02/2013,43,11,6,17,2,1,1,0,2,0,5300,118580,25370,702214,0,851464,0,0,0,0,0,5300,59290,12685,702214,0,1,0,0.016506103
C17623,0,39,F,435077.4,SENP,36-40,177,7,SA,07/09/2014,35,6,5,11,1,1,1,0,2,0,3600,612170,29440,912815,0,1558025,0,0,0,0,0,3600,612170,14720,912815,0,1,0,0.016588702
C13269,1,36,M,120465.79,PROF,36-40,374,23,SA,10/31/2010,79,18,4,22,0,3,0,1,0,1,24700,0,0,0,89907,114607,0,0,0,0,0,8233.33,0,0,0,89907,1,0,0.016629052
C1358,0,51,M,3225322.18,PROF,>50,192,25,SA,4/27/2001,193,4,1,5,1,0,0,0,0,0,0,680640,0,0,0,680640,0,0,0,0,0,0,680640,0,0,0,1,1,0.016644289
C13993,0,51,M,1242727.9,SAL,>50,118,7,CA,05/09/2010,85,31,18,49,7,2,0,1,8,0,3100,955010,443310,0,112491,1513911,0,0,0,0,0,1550,136430,55413.75,0,112491,1,0,0.016794982
C1025,0,42,M,85881.93,SELF-EMP,41-45,180,22,SA,1/23/1999,220,2,3,5,3,0,0,0,0,0,0,142390,0,0,0,142390,0,0,0,0,0,0,47463.33,0,0,0,1,0,0.017343574
C3115,0,32,M,3337.7,SAL,31-35,762,11,CA,03/09/2002,183,16,21,37,9,2,5,1,4,1,34800,334840,80170,893204,110882,1453896,0,0,0,0,0,17400,37204.44,20042.5,178640.8,110882,1,1,0.017443862
C17038,0,39,F,17375.06,SENP,36-40,344,7,SA,08/04/2010,82,14,7,21,2,1,0,0,4,0,11500,761920,97440,0,0,870860,0,0,0,0,0,11500,380960,24360,0,0,1,1,0.017460853
C11624,0,47,F,240058.1,SENP,46-50,989,21,SA,12/09/2011,66,10,4,14,1,2,0,0,1,1,27000,915670,66680,0,0,1009350,0,0,0,0,0,13500,915670,66680,0,0,1,0,0.017739554
C15002,0,34,M,1563758.91,SELF-EMP,31-35,516,1,SA,08/04/2012,58,4,3,7,0,0,0,0,3,0,0,0,47700,0,0,47700,0,0,0,0,0,0,0,15900,0,0,1,1,0.018673906
C2402,0,36,M,241283.08,SAL,36-40,150,19,CA,12/18/2010,77,33,19,52,7,2,5,1,4,1,1400,996920,82690,409753,104554,1595317,1,0,0,0,0,700,142417.14,20672.5,81950.6,104554,1,1,0.018803886
C1368,0,36,M,1055064.76,SELF-EMP,36-40,265,14,SA,06/02/2005,144,14,7,21,3,1,1,0,2,0,3000,30720,26570,468776,0,529066,0,0,0,0,0,3000,10240,13285,468776,0,1,0,0.018948316
C2975,0,32,M,85164.12,PROF,31-35,937,19,SA,1/27/2004,160,5,6,11,3,1,1,0,1,1,15500,144630,0,770063,0,930193,1,0,0,0,0,15500,48210,0,770063,0,1,1,0.019063138
C19705,0,35,M,44688.71,SELF-EMP,31-35,400,1,CA,12/21/2014,29,14,4,18,3,0,0,0,1,0,0,93450,0,0,0,93450,1,0,0,0,1,0,31150,0,0,0,0,1,0.019391774
C9831,0,54,F,310402.7,SENP,>50,365,21,SA,04/02/2009,98,12,4,16,4,0,0,0,0,1,0,520750,0,0,0,520750,0,0,0,0,0,0,130187.5,0,0,0,1,1,0.019469696
C836,0,55,M,48489.47,SAL,>50,860,21,SA,11/06/2008,103,4,3,7,1,0,0,2,0,1,0,792120,0,0,17276,809396,0,0,0,0,0,0,792120,0,0,8638,1,1,0.019538594
C19682,0,28,M,607622.71,SELF-EMP,26-30,157,2,SA,06/09/2011,72,4,3,7,2,0,0,0,1,0,0,599520,0,0,0,599520,0,0,0,0,0,0,299760,0,0,0,1,0,0.019578405
C16955,1,44,M,16195.6,SELF-EMP,41-45,635,7,SA,9/28/2006,128,13,7,20,0,1,1,0,5,0,18900,0,892260,279941,0,1191101,0,0,0,0,0,18900,0,178452,279941,0,1,0,0.019596311
C15111,0,25,M,3263253.19,PROF,<25,127,3,SA,10/27/2000,199,12,6,18,3,1,1,0,1,0,9000,934710,0,679118,0,1622828,0,0,0,0,0,9000,311570,0,679118,0,1,1,0.019768072
C11973,0,33,M,15922.29,SAL,31-35,124,14,SA,09/04/2006,129,5,5,10,2,1,1,0,1,0,12400,897540,0,6858,0,916798,0,0,0,0,0,12400,448770,0,6858,0,1,1,0.019875799
C19893,0,36,M,36706.45,SAL,36-40,362,5,SA,11/05/2013,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.019901468
C16610,0,39,F,5246.22,SENP,36-40,333,9,SA,6/19/2012,59,3,2,5,0,0,0,0,2,0,0,0,95970,0,0,95970,0,0,0,0,0,0,0,47985,0,0,1,1,0.019931709
C8669,0,28,M,63435.66,PROF,26-30,107,10,SA,9/17/2007,117,6,6,12,2,1,1,0,2,1,9000,132130,29990,198270,0,369390,0,0,0,0,0,9000,66065,14995,198270,0,1,1,0.020148485
C11205,0,27,M,187351.41,SELF-EMP,26-30,803,13,SA,11/09/2013,43,4,3,7,1,0,0,0,2,0,0,333200,59040,0,0,392240,0,0,0,0,0,0,333200,29520,0,0,1,1,0.020242992
C3123,0,40,M,3288447.33,SAL,36-40,444,31,SA,01/07/2000,209,4,2,6,1,1,0,0,0,0,2700,226990,0,0,0,229690,0,0,0,0,0,2700,226990,0,0,0,1,0,0.020557753
C17909,0,26,F,1581353.78,SAL,26-30,896,7,SA,9/15/2001,189,6,6,12,2,1,1,0,2,0,19600,862280,61820,742136,0,1685836,1,0,0,1,1,19600,431140,30910,742136,0,1,1,0.020645674
C6566,0,52,M,145683.31,PROF,>50,544,15,SA,03/06/2012,63,6,6,12,3,1,1,0,1,0,10800,740520,0,357709,0,1109029,0,0,0,0,0,10800,246840,0,357709,0,1,0,0.021182654
C7306,0,46,F,37544.18,PROF,46-50,690,24,CA,01/09/2010,89,9,4,13,4,0,0,0,0,0,0,631890,0,0,0,631890,0,0,0,0,0,0,157972.5,0,0,0,1,1,0.021299715
C9406,0,27,M,652140.65,SAL,26-30,104,19,SA,08/04/2011,70,18,14,32,7,2,4,1,0,0,40800,650850,0,899300,191510,1782460,0,0,0,0,0,20400,92978.57,0,224825,191510,1,0,0.021661083
C14372,0,28,F,2678522.21,SAL,26-30,263,2,SA,2/24/2012,63,10,5,15,1,1,1,0,2,0,15700,511600,47790,909586,0,1484676,0,0,0,0,0,15700,511600,23895,909586,0,1,0,0.021672446
C7912,0,50,F,2445200.6,SAL,46-50,470,27,CA,10/06/2004,152,19,4,23,2,1,1,0,0,1,4300,493710,0,102580,0,600590,1,0,0,0,0,4300,246855,0,102580,0,1,1,0.021730078
C16190,1,33,F,334021.16,SENP,31-35,741,1,SA,3/14/2005,147,12,6,18,1,1,0,0,4,0,500,169190,36780,0,0,206470,0,0,0,0,0,500,169190,9195,0,0,1,1,0.021762863
C14603,0,51,F,589994.63,SENP,>50,584,3,CA,10/14/2005,140,22,29,51,12,3,8,2,4,1,26000,718000,88040,102572,146705,1081317,0,0,0,0,0,8666.67,59833.33,22010,12821.5,73352.5,0,1,0.021787678
C13458,1,43,F,75985.16,PROF,41-45,170,19,SA,10/26/2014,31,18,14,32,5,2,4,1,2,0,48900,687440,19760,725905,24134,1506139,0,0,0,0,0,24450,137488,9880,181476.25,24134,1,1,0.02209115
C6112,0,35,F,607516.37,SENP,31-35,738,12,SA,10/10/2014,32,14,7,21,1,1,1,0,4,1,10500,322500,77870,591794,0,1002664,0,0,0,0,0,10500,322500,19467.5,591794,0,0,1,0.022150677
C10677,0,44,M,41829.44,SAL,41-45,710,25,SA,4/25/2014,37,20,4,24,3,1,0,0,0,0,15900,25240,0,0,0,41140,0,0,0,0,0,15900,8413.33,0,0,0,0,0,0.022250193
C17306,0,34,M,108284.75,SELF-EMP,31-35,326,8,SA,02/09/2011,76,6,6,12,1,1,0,0,4,0,2700,149730,62890,0,0,215320,0,0,0,0,0,2700,149730,15722.5,0,0,1,0,0.022625504
C18268,0,54,F,58006.45,SELF-EMP,>50,187,4,SA,12/19/2004,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.022707755
C4882,0,26,M,233733.91,SENP,26-30,329,16,SA,04/03/2009,98,10,6,16,3,1,1,0,1,0,2100,848460,0,191234,0,1041794,0,0,0,0,1,2100,282820,0,191234,0,1,0,0.022742072
C2727,0,27,M,290209.53,SELF-EMP,26-30,967,31,SA,03/06/2002,183,8,4,12,0,2,2,0,0,0,7500,0,0,840778,0,848278,0,0,0,0,0,3750,0,0,420389,0,1,1,0.022804573
C10196,0,24,F,93781.38,SELF-EMP,<25,499,18,CA,9/14/2002,177,4,4,8,2,0,0,0,2,0,0,99230,91200,0,0,190430,0,0,0,0,0,0,49615,45600,0,0,1,0,0.023503318
C3907,0,54,M,15890.87,SAL,>50,397,17,SA,5/15/2014,37,5,6,11,1,1,0,0,4,1,4800,998960,74130,0,0,1077890,1,0,0,0,0,4800,998960,18532.5,0,0,1,0,0.023676092
C5538,0,24,M,57393.97,SAL,<25,825,15,SA,12/23/2006,125,11,9,20,4,1,0,1,3,0,4600,136450,0,0,129692,270742,0,0,0,0,0,4600,34112.5,0,0,129692,1,1,0.024220543
C10101,0,32,M,172428.48,SELF-EMP,31-35,256,22,SA,09/08/2004,153,2,1,3,0,1,0,0,0,0,7600,0,0,0,0,7600,0,0,0,0,0,7600,0,0,0,0,1,1,0.024359779
C2693,0,35,M,329218.9,SELF-EMP,31-35,491,14,SA,4/16/2006,134,18,14,32,1,2,4,1,6,0,41700,224520,59260,581069,140861,1047410,0,0,0,0,0,20850,224520,9876.67,145267.25,140861,1,1,0.024569948
C8730,0,54,M,907201.1,PROF,>50,243,21,SA,3/15/2005,147,14,3,17,1,0,0,0,2,0,0,833850,33740,0,0,867590,0,0,0,0,0,0,833850,16870,0,0,0,1,0.024613132
C13071,1,30,F,514834.46,SAL,26-30,219,14,CA,06/04/2011,72,18,3,21,3,0,0,0,0,1,0,523450,0,0,0,523450,0,0,0,0,0,0,174483.33,0,0,0,1,0,0.024774698
C8966,0,41,M,4622.41,SELF-EMP,41-45,413,17,SA,5/19/2003,168,8,6,14,1,1,0,0,4,0,18300,511350,24760,0,0,554410,1,0,0,0,0,18300,511350,6190,0,0,1,0,0.02498863
C14962,0,27,M,849599.06,SAL,26-30,403,1,SA,10/31/1999,211,16,15,31,1,2,4,1,7,1,43900,930810,648180,172030,92256,1887176,0,0,0,0,0,21950,930810,92597.14,43007.5,92256,1,1,0.025027774
C6415,0,54,M,46437.58,SELF-EMP,>50,635,18,SA,8/24/2007,117,14,7,21,3,1,1,0,2,0,16800,58220,12220,253211,0,340451,0,0,0,0,0,16800,19406.67,6110,253211,0,1,1,0.025924214
C765,0,54,M,22926.49,SAL,>50,166,10,SA,04/04/1999,218,11,10,21,5,1,0,1,3,1,11200,547740,0,0,63796,622736,0,0,0,0,0,11200,109548,0,0,63796,1,0,0.026013225
C7543,0,27,M,253682.57,PROF,26-30,195,24,CA,7/18/2014,34,11,1,12,0,1,0,0,0,1,16500,0,0,0,0,16500,0,0,0,0,0,16500,0,0,0,0,1,1,0.026370781
C19179,0,32,M,7810.72,SELF-EMP,31-35,828,8,SA,1/16/2013,53,10,6,16,3,1,1,0,1,0,16600,588910,0,204101,0,809611,0,0,0,0,0,16600,196303.33,0,204101,0,1,0,0.026584784
C3718,0,52,M,219588.64,SAL,>50,426,31,SA,4/21/2008,109,17,4,21,1,3,0,0,0,0,45400,46200,0,0,0,91600,0,0,0,0,0,15133.33,46200,0,0,0,1,0,0.02692376
C10364,0,30,F,1910042.84,PROF,26-30,365,20,SA,09/04/2000,201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.027339985
C9045,0,33,M,177593.02,PROF,31-35,448,11,SA,12/11/2010,78,19,15,34,1,2,4,1,7,0,29700,432970,557640,912480,168860,2101650,0,0,0,0,0,14850,432970,79662.86,228120,168860,1,0,0.027617127
C5934,0,52,F,246236.75,SENP,>50,169,20,SA,8/30/2010,81,8,6,14,1,1,0,0,4,0,1900,368990,73720,0,0,444610,0,0,0,0,0,1900,368990,18430,0,0,1,0,0.027623547
C17435,0,29,M,86887.02,PROF,26-30,231,3,CA,9/24/1999,212,6,6,12,2,1,1,0,2,0,1700,284320,93560,484149,0,863729,0,0,0,0,0,1700,142160,46780,484149,0,1,0,0.028039774
C4865,0,26,M,2061446.2,SAL,26-30,232,12,SA,11/04/2000,199,6,5,11,1,1,1,0,2,0,10800,965410,41490,863253,0,1880953,0,0,0,0,0,10800,965410,20745,863253,0,1,0,0.028211137
C13206,1,39,M,268542.99,SELF-EMP,36-40,774,10,SA,2/24/2003,171,2,6,8,1,1,0,0,4,1,17100,90710,58740,0,0,166550,0,0,0,0,0,17100,90710,14685,0,0,1,0,0.028307804
